,week,algorithm,accuraccy,f1_score,precision,recall,roc_auc,cv_mean_auc,cv_mean_f1,cv_mean_recall,cv_mean_accuracy,scenario
0,0,XGBoost,0.8113207547169812,0.8958333333333334,0.8113207547169812,1.0,0.5,0.5654150197628459,0.9161292517006802,1.0,1.0,Original
1,0,Logistic Regression,0.7924528301886793,0.8842105263157894,0.8076923076923077,0.9767441860465116,0.4883720930232558,0.5551679841897232,0.9161292517006802,1.0,1.0,Original
2,0,Decision Tree,0.7547169811320755,0.853932584269663,0.8260869565217391,0.8837209302325582,0.541860465116279,0.5601482213438735,0.83065470833694,0.8071146245059289,0.8071146245059289,Original
3,0,SVM,0.8113207547169812,0.8958333333333334,0.8113207547169812,1.0,0.5,0.4368774703557312,0.9161292517006802,1.0,1.0,Original
4,0,KNN,0.7924528301886793,0.8842105263157894,0.8076923076923077,0.9767441860465116,0.4883720930232558,0.48584980237154146,0.9161292517006802,1.0,1.0,Original
5,0,Random Forest,0.8113207547169812,0.8958333333333334,0.8113207547169812,1.0,0.5,0.5342144268774703,0.911519322622666,0.9954545454545455,0.9954545454545455,Original
6,0,LDA,0.7924528301886793,0.8842105263157894,0.8076923076923077,0.9767441860465116,0.4883720930232558,0.6155138339920948,0.911265595599942,0.9865612648221344,0.9865612648221344,Original
7,0,Multi Layer Nets,0.6415094339622641,0.759493670886076,0.8333333333333334,0.6976744186046512,0.5488372093023256,0.4477766798418973,0.8908972752501892,0.9509881422924902,0.9509881422924902,Original
8,0,Gradient Boosting,0.7547169811320755,0.8602150537634408,0.8,0.9302325581395349,0.46511627906976744,0.5766205533596838,0.895123236652046,0.9640316205533598,0.9640316205533598,Original
9,1,XGBoost,0.8596491228070176,0.9215686274509803,0.8867924528301887,0.9591836734693877,0.6045918367346939,0.7388541666666666,0.8984245587084191,0.9523550724637682,0.9523550724637682,Original
10,1,Logistic Regression,0.8421052631578947,0.9142857142857143,0.8571428571428571,0.9795918367346939,0.4897959183673469,0.655588768115942,0.904057315233786,0.9914855072463767,0.9914855072463767,Original
11,1,Decision Tree,0.7894736842105263,0.8799999999999999,0.8627450980392157,0.8979591836734694,0.5114795918367347,0.5253804347826088,0.8297690537237792,0.8155797101449274,0.8155797101449274,Original
12,1,SVM,0.8596491228070176,0.9245283018867925,0.8596491228070176,1.0,0.5,0.6337590579710144,0.9065539713708416,1.0,1.0,Original
13,1,KNN,0.8771929824561403,0.9333333333333333,0.875,1.0,0.5625,0.6191893115942029,0.907650040567751,0.991485507246377,0.991485507246377,Original
14,1,Random Forest,0.8771929824561403,0.9333333333333333,0.875,1.0,0.5625,0.7355389492753622,0.8863510121997518,0.9565217391304349,0.9565217391304349,Original
15,1,LDA,0.8421052631578947,0.9108910891089108,0.8846153846153846,0.9387755102040817,0.5943877551020409,0.7440851449275363,0.90003155130028,0.9483695652173914,0.9483695652173914,Original
16,1,Multi Layer Nets,0.8421052631578947,0.912621359223301,0.8703703703703703,0.9591836734693877,0.5420918367346939,0.5396014492753622,0.8768397880037236,0.9014492753623189,0.9014492753623189,Original
17,1,Gradient Boosting,0.8245614035087719,0.9019607843137256,0.8679245283018868,0.9387755102040817,0.5318877551020409,0.6720108695652174,0.8707383749059291,0.9177536231884058,0.9177536231884058,Original
18,2,XGBoost,0.8070175438596491,0.8932038834951457,0.8846153846153846,0.9019607843137255,0.45098039215686275,0.7243161231884058,0.8929464226152378,0.9523550724637682,0.9523550724637682,Original
19,2,Logistic Regression,0.8421052631578947,0.9142857142857143,0.8888888888888888,0.9411764705882353,0.47058823529411764,0.6890579710144927,0.896652118649393,0.9706521739130434,0.9706521739130434,Original
20,2,Decision Tree,0.7543859649122807,0.8478260869565216,0.9512195121951219,0.7647058823529411,0.7156862745098039,0.5597644927536233,0.8307697449968664,0.8206521739130433,0.8206521739130433,Original
21,2,SVM,0.8947368421052632,0.9444444444444444,0.8947368421052632,1.0,0.5,0.614981884057971,0.9069239306753181,1.0,1.0,Original
22,2,KNN,0.8596491228070176,0.9245283018867925,0.8909090909090909,0.9607843137254902,0.4803921568627451,0.6505706521739131,0.9026162383676258,0.9914855072463767,0.9914855072463767,Original
23,2,Random Forest,0.8421052631578947,0.9142857142857143,0.8888888888888888,0.9411764705882353,0.47058823529411764,0.7150090579710144,0.9008158586412673,0.9699275362318842,0.9699275362318842,Original
24,2,LDA,0.7894736842105263,0.8799999999999999,0.8979591836734694,0.8627450980392157,0.5147058823529412,0.780769927536232,0.8910037218473812,0.9231884057971014,0.9231884057971014,Original
25,2,Multi Layer Nets,0.7719298245614035,0.8712871287128714,0.88,0.8627450980392157,0.43137254901960786,0.5553713768115942,0.8576408560383715,0.9016304347826087,0.9016304347826087,Original
26,2,Gradient Boosting,0.7543859649122807,0.851063829787234,0.9302325581395349,0.7843137254901961,0.642156862745098,0.7131431159420291,0.8878865876956347,0.931340579710145,0.931340579710145,Original
27,3,XGBoost,0.8245614035087719,0.9,0.8333333333333334,0.9782608695652174,0.5800395256916996,0.7336141304347825,0.8964516996929397,0.957608695652174,0.957608695652174,Original
28,3,Logistic Regression,0.8245614035087719,0.8936170212765957,0.875,0.9130434782608695,0.6837944664031621,0.7944474637681159,0.9000249888470296,0.9445652173913043,0.9445652173913043,Original
29,3,Decision Tree,0.7719298245614035,0.8505747126436782,0.9024390243902439,0.8043478260869565,0.7203557312252965,0.6165579710144928,0.8786741385422501,0.8431159420289855,0.8431159420289855,Original
