,week,algorithm,accuraccy,f1_score,precision,recall,roc_auc,cv mean,cv_mean_f1,cv_mean_recall,scenario
0,0,XGBoost,0.8113207547169812,0.8958333333333334,0.8113207547169812,1.0,0.5,0.5654150197628459,0.9161292517006802,1.0,Original
1,0,Logistic Regression,0.7924528301886793,0.8842105263157894,0.8076923076923077,0.9767441860465116,0.4883720930232558,0.5551679841897232,0.9161292517006802,1.0,Original
2,0,Decision Tree,0.7169811320754716,0.8314606741573034,0.8043478260869565,0.8604651162790697,0.48023255813953486,0.5182015810276679,0.8344172715477193,0.7938735177865613,Original
3,0,SVM,0.8113207547169812,0.8958333333333334,0.8113207547169812,1.0,0.5,0.4368774703557312,0.9161292517006802,1.0,Original
4,0,KNN,0.7924528301886793,0.8842105263157894,0.8076923076923077,0.9767441860465116,0.4883720930232558,0.48584980237154146,0.9161292517006802,1.0,Original
5,0,Random Forest,0.8113207547169812,0.8958333333333334,0.8113207547169812,1.0,0.5,0.5519911067193675,0.911519322622666,0.990909090909091,Original
6,0,LDA,0.7924528301886793,0.8842105263157894,0.8076923076923077,0.9767441860465116,0.4883720930232558,0.6155138339920948,0.911265595599942,0.9865612648221344,Original
7,0,Multi Layer Nets,0.4716981132075472,0.6000000000000001,0.7777777777777778,0.4883720930232558,0.44418604651162785,0.43597826086956515,0.9088514739229024,0.9737154150197629,Original
8,1,XGBoost,0.8596491228070176,0.9215686274509803,0.8867924528301887,0.9591836734693877,0.6045918367346939,0.7388541666666666,0.8984245587084191,0.9523550724637682,Original
9,1,Logistic Regression,0.8421052631578947,0.9142857142857143,0.8571428571428571,0.9795918367346939,0.4897959183673469,0.655588768115942,0.904057315233786,0.9914855072463767,Original
10,1,Decision Tree,0.7543859649122807,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.4910714285714286,0.5318659420289855,0.8301032934382222,0.8284420289855072,Original
11,1,SVM,0.8596491228070176,0.9245283018867925,0.8596491228070176,1.0,0.5,0.6337590579710144,0.9065539713708416,1.0,Original
12,1,KNN,0.8771929824561403,0.9333333333333333,0.875,1.0,0.5625,0.6191893115942029,0.907650040567751,0.991485507246377,Original
13,1,Random Forest,0.8421052631578947,0.9142857142857143,0.8571428571428571,0.9795918367346939,0.4897959183673469,0.7166349637681159,0.888950525979307,0.9608695652173914,Original
14,1,LDA,0.8421052631578947,0.9108910891089108,0.8846153846153846,0.9387755102040817,0.5943877551020409,0.7440851449275363,0.90003155130028,0.9483695652173914,Original
15,1,Multi Layer Nets,0.8596491228070176,0.9245283018867925,0.8596491228070176,1.0,0.5,0.5085507246376811,0.8913022874654262,0.9014492753623189,Original
16,2,XGBoost,0.8070175438596491,0.8932038834951457,0.8846153846153846,0.9019607843137255,0.45098039215686275,0.7243161231884058,0.8929464226152378,0.9523550724637682,Original
17,2,Logistic Regression,0.8421052631578947,0.9142857142857143,0.8888888888888888,0.9411764705882353,0.47058823529411764,0.6890579710144927,0.896652118649393,0.9706521739130434,Original
18,2,Decision Tree,0.7192982456140351,0.8297872340425532,0.9069767441860465,0.7647058823529411,0.5490196078431373,0.5882789855072464,0.8452989989761498,0.8206521739130433,Original
19,2,SVM,0.8947368421052632,0.9444444444444444,0.8947368421052632,1.0,0.5,0.614981884057971,0.9069239306753181,1.0,Original
20,2,KNN,0.8596491228070176,0.9245283018867925,0.8909090909090909,0.9607843137254902,0.4803921568627451,0.6505706521739131,0.9026162383676258,0.9914855072463767,Original
21,2,Random Forest,0.7894736842105263,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.4411764705882353,0.7313768115942029,0.8975277976906672,0.9612318840579711,Original
22,2,LDA,0.7894736842105263,0.8799999999999999,0.8979591836734694,0.8627450980392157,0.5147058823529412,0.780769927536232,0.8910037218473812,0.9231884057971014,Original
23,2,Multi Layer Nets,0.7017543859649122,0.8210526315789474,0.8863636363636364,0.7647058823529411,0.4656862745098038,0.6618025362318841,0.8447288812533955,0.8384057971014492,Original
24,3,XGBoost,0.8245614035087719,0.9,0.8333333333333334,0.9782608695652174,0.5800395256916996,0.7336141304347825,0.8964516996929397,0.957608695652174,Original
25,3,Logistic Regression,0.8245614035087719,0.8936170212765957,0.875,0.9130434782608695,0.6837944664031621,0.7944474637681159,0.9000249888470296,0.9445652173913043,Original
26,3,Decision Tree,0.7894736842105263,0.8636363636363636,0.9047619047619048,0.8260869565217391,0.7312252964426877,0.6431340579710145,0.8593963221484036,0.8554347826086957,Original
27,3,SVM,0.8070175438596491,0.8910891089108911,0.8181818181818182,0.9782608695652174,0.5345849802371542,0.7506884057971015,0.9055522354079514,1.0,Original
28,3,KNN,0.8245614035087719,0.9019607843137255,0.8214285714285714,1.0,0.5454545454545454,0.6734420289855073,0.8989640001138337,0.9869565217391305,Original
29,3,Random Forest,0.8596491228070176,0.9183673469387755,0.8653846153846154,0.9782608695652174,0.6709486166007905,0.7901449275362319,0.9010407239819006,0.9615942028985508,Original
30,3,LDA,0.8421052631578947,0.9032258064516129,0.8936170212765957,0.9130434782608695,0.7292490118577075,0.835588768115942,0.9183114637159212,0.9490942028985507,Original
31,3,Multi Layer Nets,0.7894736842105263,0.8775510204081632,0.8269230769230769,0.9347826086956522,0.558300395256917,0.7363677536231884,0.8645209058544724,0.8208333333333334,Original
32,4,XGBoost,0.5892857142857143,0.6349206349206349,0.6060606060606061,0.6666666666666666,0.5833333333333333,0.7244485294117646,0.7350028012411914,0.7952205882352941,Original
